symbol	GSM1523727	GSM1523728	GSM1523729	GSM1523744	GSM1523745	GSM1523746	GSM1523747	GSM1523748	GSM1523765	GSM1523768	GSM1523769	GSM1523770	GSM1523771	GSM1523772	GSM1523773	GSM1523774	GSM1523775	GSM1523776	GSM1523777	GSM1523778	GSM1523779	GSM1523780	GSM1523781	GSM1523782	GSM1523783	GSM1523784	GSM1523785	GSM1523786	GSM1523787	GSM1523788	GSM1523789	GSM1523790	GSM1523791	GSM1523792	GSM1523793	GSM1523794	GSM1523795	GSM1523796	GSM1523797	GSM1523798	GSM1523799	GSM1523800	GSM1523801	GSM1523802	GSM1523803	GSM1523804	GSM1523805	GSM1523806	GSM1523807	GSM1523808
SH3KBP1	14.381168	14.329265	14.45774	14.278357	14.173594	14.040492	14.32738	14.187226	13.909655	14.216638	14.233244	14.108631	14.176143	14.357045	14.194978	14.211899	14.087404	14.473162	14.223572	14.306292	14.104943	14.258076	14.300167	14.009432	14.358528	14.342309	14.239714	14.286867	14.290156	14.091028	14.233466	14.17909	14.117173	14.130932	14.156789	14.140367	14.149464	14.334383	14.22565	14.137831	14.015499	14.175761	14.310642	14.334733	14.02848	14.072131	14.157193	14.102074	14.305054	14.15242
RPL41	14.12394	14.123936	14.17648	14.257011	14.12026	14.436347	14.268218	14.300925	14.279643	14.108706	14.1337	14.357901	14.148849	14.10425	14.138422	14.074596	14.259816	14.200004	14.240857	14.207933	14.135388	14.188844	14.178418	14.150355	14.174542	14.148107	14.085436	14.101431	13.912536	14.029245	14.180217	14.077316	14.126532	14.260604	13.990069	14.085794	14.021297	14.147896	14.154998	14.094286	14.257521	14.223957	14.113086	14.151765	14.033361	14.024848	14.13896	14.231645	13.990534	14.168686
CD24	14.270027	14.28343	14.175845	14.201867	13.975075	14.179555	14.029921	14.255944	14.232043	14.167139	14.133261	14.153457	14.198187	14.171442	14.214047	14.088621	14.314071	14.062708	14.198596	14.148348	14.071901	14.201767	14.240478	14.111481	14.111325	14.147448	14.163452	14.055346	14.085635	14.108349	14.157313	14.071297	14.228721	14.224209	14.051328	13.826763	14.155245	14.182343	13.97079	14.037588	14.154628	14.227184	14.193258	13.753965	14.052132	13.97766	14.158763	14.092649	14.044809	14.156792
COX2	14.124598	14.23102	14.175996	13.934989	14.069906	13.711827	14.014803	13.849221	13.912357	14.133085	14.058915	13.792603	13.727998	14.075171	14.069014	13.714148	13.968253	14.026546	13.996864	14.235598	13.950868	14.093187	14.036409	13.801597	14.06194	14.048156	14.099343	14.07098	14.197764	13.905318	14.060301	14.108862	13.813989	13.747911	13.974452	14.016487	14.120863	13.950069	12.850052	13.854531	13.653098	14.054162	14.226765	14.191945	13.986304	13.98425	13.854809	13.97966	14.068716	14.112315
LOC101928826	14.002117	14.000074	13.989997	13.882902	14.063804	13.973883	13.911537	14.003279	13.941162	13.977924	14.046132	13.966167	14.025736	14.005862	13.995611	14.021523	13.97208	14.02152	14.073721	13.912114	13.90441	13.891653	13.881846	13.860164	13.948588	13.968426	13.940569	13.929706	13.997765	13.916112	14.011887	14.004762	13.987084	13.932504	13.918969	13.948429	14.015113	14.074547	14.03205	13.992632	13.947585	13.877681	13.908661	14.01538	13.987264	13.896603	13.998648	14.119628	13.962474	13.93676
HUWE1	14.015022	13.984879	13.937052	13.999635	14.003964	13.961936	14.011817	13.956118	14.095656	13.970665	14.05535	13.935045	14.04406	13.986294	13.977097	13.979283	13.945174	14.001662	14.03788	13.899258	13.866993	13.902689	13.891452	14.02953	13.958988	13.929097	13.999635	13.872414	13.989603	13.896861	13.940362	13.977097	13.985489	13.991848	13.886082	13.872102	13.986814	13.986294	14.015658	13.882143	13.985334	13.860525	13.886356	13.989302	13.96437	13.805901	13.977884	14.08983	13.958631	13.937039
ND4	14.234855	14.020944	14.101886	14.303907	13.796302	13.597778	13.82345	13.715994	13.812525	14.064292	13.931976	13.855936	13.735728	14.055861	13.918614	13.888536	13.819066	14.112483	13.921257	14.053933	13.894786	13.684321	14.189928	13.75184	13.994374	14.007359	13.935747	13.955024	14.049175	13.732254	13.924275	13.89377	13.762549	13.618253	13.778402	13.753101	14.156467	13.80157	13.900339	13.757273	13.476028	13.795029	14.044799	14.102929	13.745523	13.831263	13.694603	13.917901	13.955264	13.898245
SNORD42A	13.85588	13.807887	13.885919	13.846545	13.654492	13.827315	13.981015	13.956089	14.104812	13.984387	13.796418	14.042727	13.940664	13.924296	13.887769	13.825906	13.875612	13.861724	14.186085	13.914548	13.842457	13.942111	14.024087	14.056187	13.899111	13.911865	13.853312	13.886152	13.713386	13.838862	13.857688	13.633665	13.873142	13.841667	14.071094	13.984195	14.127957	13.866562	13.810696	13.872799	13.958285	13.847845	13.909974	14.044337	13.928736	13.788831	13.859803	13.998031	13.865808	13.803214
RPL37A	13.877313	13.901608	13.949326	13.962229	13.939258	13.970216	13.996425	13.940692	13.975726	13.833066	13.8413	13.930683	13.921401	13.935875	13.826001	13.903296	13.925705	13.769104	13.750426	13.98902	13.85787	13.927011	14.133279	13.912976	13.858069	13.793381	13.875413	13.782538	13.823975	13.863423	13.900806	13.718824	13.858525	13.888058	13.675529	13.819184	13.834741	13.921701	13.736263	13.78212	14.068504	13.886847	13.707764	13.892625	13.857777	13.740583	13.838702	13.844253	13.935753	13.8525
B2M	14.075113	14.017068	13.917855	14.050812	14.058914	13.92189	13.524793	14.072575	13.558559	13.948937	14.089763	13.958996	13.970626	13.773133	14.03009	13.928974	13.899432	14.09005	13.736196	14.012491	13.988009	14.125529	13.601188	13.855649	14.030816	13.966214	14.14389	14.002104	13.877313	13.954771	13.908244	14.275407	14.138033	13.901387	14.04952	14.264463	13.857794	14.035394	14.029009	14.074055	13.771504	13.93091	13.806212	14.124643	13.843419	13.890776	14.075948	13.947203	14.075395	14.165276
