probe	GSM2696792	GSM2696793	GSM2696794	GSM2696795	GSM2696796	GSM2696797	GSM2696798	GSM2696799	GSM2696800	GSM2696801	GSM2696802	GSM2696803	GSM2696804	GSM2696805	GSM2696806	GSM2696807	GSM2696808	GSM2696809	GSM2696810	GSM2696811	GSM2696812	GSM2696813	GSM2696814	GSM2696815	GSM2696816	GSM2696817	GSM2696818	GSM2696819	GSM2696820	GSM2696821	GSM2696822	GSM2696823	GSM2696824	GSM2696825	GSM2696826	GSM2696827	GSM2696828	GSM2696829	GSM2696830	GSM2696831	GSM2696832	GSM2696833	GSM2696834	GSM2696835	GSM2696836	GSM2696837	GSM2696838	GSM2696839	GSM2696840	GSM2696841	GSM2696842	GSM2696843	GSM2696844	GSM2696845	GSM2696846	GSM2696847	GSM2696848	GSM2696849	GSM2696850	GSM2696851	GSM2696852	GSM2696853	GSM2696854	GSM2696855	GSM2696856	GSM2696857
1007_s_at	10.26165	10.7401	10.69498	10.69294	10.56556	10.64204	9.898884	10.37463	10.66302	10.60617	10.36426	11.05019	10.33236	10.48277	10.06471	11.26765	10.37063	10.74676	10.61019	10.57405	10.53561	10.99112	10.49268	10.77236	10.35998	10.23247	10.6733	10.59317	11.3323	10.69011	10.43139	10.57874	8.965454	10.03608	10.84585	10.71497	10.25381	9.423882	10.77434	11.01984	10.57879	10.02139	10.72119	10.30219	11.24536	10.41588	9.696707	10.37745	10.0742	9.849801	10.25076	11.11546	10.82235	10.12831	10.41228	10.53344	10.47938	10.53134	8.796887	10.38724	10.31258	11.28989	10.40357	10.31193	10.37815	9.9978
1053_at	8.36508	8.463314	8.535923	8.091345	7.280246	7.548888	8.644019	7.290636	6.828328	7.560024	7.970115	7.594981	7.111015	8.313489	7.703347	10.07042	8.295145	7.737497	6.956175	7.432806	7.643627	7.809221	7.846494	8.055485	8.26756	7.405524	7.19023	7.748679	8.361666	7.153132	7.727551	8.117093	7.899116	7.688365	7.859959	6.125659	8.115425	7.178854	7.715749	7.396842	7.530558	8.192873	8.00875	7.704571	7.926975	8.371061	7.889247	7.893147	7.70938	8.970263	7.923295	7.193242	7.411777	7.781855	8.024508	8.251047	7.4741	8.143784	7.547507	6.504205	7.715838	8.218235	8.378143	7.989196	7.842307	7.525488
117_at	7.212391	5.832635	5.616512	8.090054	4.959763	5.493782	5.824874	7.465886	6.015228	6.151659	5.133213	7.397892	6.811278	6.452335	6.295287	6.544256	5.483747	5.481676	5.366233	5.749299	5.910185	6.312388	5.085329	5.755927	6.221466	8.346073	5.390308	5.298892	6.220772	6.646444	5.875358	5.493134	8.269157	6.673878	6.049366	4.987302	5.523629	8.121347	6.724206	5.341476	6.038235	5.586178	5.226487	6.842417	6.447116	5.531327	6.837885	5.471324	5.66949	7.273539	6.264618	5.559205	5.192045	7.503342	5.828506	6.068189	8.842437	6.042688	10.28879	6.228745	5.76035	6.086109	6.122585	5.324121	5.996562	6.9135
121_at	7.377803	7.549826	8.186557	7.459644	7.782259	7.259791	7.366422	7.645741	7.320501	7.052696	7.655325	7.176776	7.523954	7.369207	6.997745	7.576185	7.558313	7.55225	8.037298	7.32173	7.861078	7.551037	7.739827	7.912237	7.939053	7.596849	7.607591	7.433153	7.71405	7.760385	7.573303	7.254736	7.264547	7.230917	7.424073	7.601758	7.213971	7.674056	7.786831	7.528755	7.329416	7.588216	8.230291	7.659275	7.780631	7.423788	7.314183	7.604053	7.4981	7.439878	7.443529	7.39837	7.619421	7.828011	7.687194	7.526914	7.10903	7.822817	7.860676	7.806474	7.909873	7.87612	7.642129	7.368341	7.607199	7.32152
1255_g_at	6.699024	2.621356	2.422049	2.423371	2.603957	2.549243	5.52173	2.448503	2.543325	2.578367	2.332828	2.487086	3.089351	2.560796	4.687547	2.890887	2.622462	3.164981	2.596497	2.594136	2.403998	2.547518	2.653927	5.320737	2.518752	2.66309	2.564078	2.390725	2.444933	2.478478	2.482735	2.806726	3.937646	3.077234	2.601984	2.388851	2.321795	7.639493	2.509188	2.673523	2.448123	2.530161	2.447409	2.508377	2.63244	2.693635	3.323349	2.50903	2.50446	3.060079	5.984929	2.630464	2.4449	2.363161	2.667242	2.500499	2.614079	2.304209	3.483412	2.740391	2.689754	3.414999	2.576336	2.699792	2.387669	3.705995
1294_at	7.487896	7.255971	6.111238	6.941331	6.874859	7.347895	6.315998	7.167905	7.373734	7.137252	7.191056	7.294202	7.103137	6.798217	6.960412	6.549683	7.169298	7.897145	7.857251	7.538282	7.207869	7.346619	7.374241	6.261302	6.497917	6.997795	6.983533	7.575447	5.786819	7.541719	7.466483	7.475171	6.120593	7.001961	6.689262	7.341237	7.199526	7.188572	7.353783	7.891813	7.664444	6.524479	8.109026	6.748792	6.860773	6.850758	6.339774	7.951376	7.266637	6.773554	7.107007	8.254728	7.52026	7.232375	7.694601	7.447134	6.345581	7.109387	7.080057	7.121952	6.972915	7.829401	6.019094	7.527525	7.285083	6.911513
1316_at	5.825148	6.76285	6.277123	6.169156	7.567799	6.438141	6.245369	5.699311	6.695326	6.32852	6.831097	5.938832	5.908443	6.395539	6.421418	5.559175	5.943893	5.878296	6.321301	6.4259	6.149407	6.591736	7.108292	6.326131	6.584525	6.577532	6.716371	6.573802	9.159509	5.643522	5.694708	5.843915	5.635009	5.244907	6.043614	6.410527	6.286617	6.477222	6.336812	6.424155	6.613872	6.389027	6.052131	6.508498	6.125139	6.026996	7.067568	5.668512	6.008478	6.036033	5.73706	6.180521	6.459563	5.673183	6.334762	6.804992	5.950034	6.035483	5.564259	5.566033	5.695112	5.579514	6.084149	6.294675	6.300581	5.780215
1320_at	4.909797	4.491693	4.225425	4.388563	4.187871	4.446964	4.684366	4.567268	4.614524	4.952491	4.558367	4.180746	4.582689	4.268673	4.455397	4.914059	4.577693	4.369912	4.761083	4.555037	4.670424	4.513542	4.612223	4.406894	4.068376	4.40712	4.432084	4.810991	4.241665	4.677434	4.755694	4.655136	4.971067	4.542276	4.514828	4.423346	4.430209	4.464581	4.667927	4.704708	4.616683	4.786457	4.336894	4.736879	4.553975	4.877307	4.356761	4.712138	4.282742	4.139409	4.549132	4.719449	4.78208	4.337614	4.618318	4.63519	4.744948	4.399937	4.176402	4.488609	4.573942	4.627019	4.679528	4.700054	4.621127	4.965981
1405_i_at	11.83547	9.229904	7.585202	7.851756	7.672476	10.44603	9.145392	9.990147	10.19564	8.379777	8.995832	9.874651	9.234988	9.635258	8.498392	8.054918	8.617528	11.00787	9.691416	9.600673	8.238999	8.918591	9.090663	9.254292	11.02179	8.75722	10.46927	9.488355	7.566133	8.437404	8.331082	9.018129	10.20745	7.803965	9.290935	8.075472	9.222038	9.846647	9.13777	9.522387	10.17756	8.646165	10.34341	9.183348	8.191938	9.395488	6.788293	11.25223	7.954939	10.05041	9.004943	10.12821	8.648832	10.32392	9.755459	9.605972	9.906051	9.856103	10.67544	8.598285	9.049841	8.991128	7.004015	10.16518	9.225457	9.298252
1431_at	3.434114	3.678832	4.16805	5.330924	4.754261	3.389922	3.718566	3.445271	3.624065	3.417602	3.446552	3.812007	6.275954	3.55968	3.267801	3.377114	4.13615	3.624418	3.581818	3.447412	3.647827	3.309834	3.77426	3.40899	3.332865	3.759488	3.356351	4.055489	4.778964	3.704008	4.2655	3.411534	3.448954	2.959423	3.323414	3.352251	3.43665	3.215411	3.616128	3.451879	3.832983	3.221006	3.471313	3.604269	3.20284	3.455353	3.210373	3.355238	3.454955	3.335061	3.394726	3.521717	3.412573	3.543089	7.080332	3.515129	3.435238	3.78315	3.380026	3.065246	3.788089	3.399902	7.626733	3.885077	3.569952	3.369489
